# dimension = 3
# ZK = 3 | zk-2d = -3
# size | avSlope | sqrt(var(avSlope)) 
1	-nan	-nan
2	2.9233	0.699084
3	2.83362	0.556565
4	2.85481	0.443109
5	2.92011	0.371565
6	2.97527	0.324194
7	3.00075	0.288704
8	3.01761	0.260035
9	3.00777	0.238362
10	3.03255	0.220029
11	3.03371	0.204566
12	3.04169	0.191302
13	3.05005	0.180943
14	3.04626	0.170366
15	3.06129	0.162118
16	3.05888	0.154144
17	3.05959	0.147489
18	3.06726	0.141025
19	3.07209	0.13558
20	3.0773	0.130315
21	3.07754	0.125496
22	3.08173	0.121292
23	3.08263	0.117417
24	3.08307	0.113726
25	3.08031	0.110284
26	3.0898	0.106846
27	3.08735	0.104083
28	3.09058	0.101248
29	3.09297	0.0986638
30	3.09377	0.0960436
31	3.09598	0.0936945
32	3.0972	0.091469
33	3.09789	0.0894494
34	3.09677	0.0875124
35	3.09855	0.0856019
36	3.10044	0.083745
37	3.10363	0.0821062
38	3.10481	0.0804187
39	3.10276	0.0788686
40	3.10349	0.0773641
41	3.10399	0.0759476
42	3.10526	0.0746281
43	3.10495	0.0732955
44	3.105	0.0720059
45	3.10661	0.0708156
46	3.10854	0.0696527
47	3.10746	0.0685437
48	3.10867	0.0674666
49	3.1087	0.0664613
50	3.10878	0.0654296
